Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,9.79097121956894E-05,-9.65384152630035E-09,-0.000633456218896373,0,0,0,7.79518748886331,0.0129807154288787,5.65040202269951E-08,5.43480779810099E-06,0.0216011404678981,6.41007021933919E-10,0.0178966287652341,0,0,0,0,0,0,package://Adam lite/meshes/pelvis.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Adam lite/meshes/pelvis.STL,,pelvis-2,pelvis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hipPitchLeft,-0.0575421167815775,0.056066100659521,0.000486993370243258,0,0,0,1.42114964981166,0.00184868615195721,0.000136467504110249,-4.98272699263972E-05,0.00128161461959218,1.91233627349333E-05,0.00123858661259708,0,0,0,0,0,0,package://Adam lite/meshes/hipPitchLeft.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Adam lite/meshes/hipPitchLeft.STL,,hipPitchLeft-2,hipPitchLeft-sys,hipPitchLeft-axis,hipPitchLeft,continuous,0,0.0961016652711375,-0.0270112045794372,-0.610865238198031,0,0,pelvis,0,1,0,,,,,,,,,,,,
hipRollLeft,0.038516128886249,-0.000412319952283774,-0.00769692376300962,0,0,0,0.955014678290295,0.000578067588612855,-1.70813673662294E-06,1.44107928076163E-05,0.000526239112569958,7.11658548037673E-07,0.000936234273878625,0,0,0,0,0,0,package://Adam lite/meshes/hipRollLeft.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Adam lite/meshes/hipRollLeft.STL,,hipRollLeft-1,hipRollLeft-sys,hipRollLeft-axis,hipRollLeft,continuous,-0.0297550000000001,0.0689999999999996,0,0.610865238198031,0,0,hipPitchLeft,1,0,0,,,,,,,,,,,,
thigh_Left,0.0048902997986308,-0.00726495645216471,-0.134697707264276,0,0,0,5.15763228754946,0.0236238191978895,-3.99140100163511E-05,0.000353396400064801,0.0307411471947746,-0.000482606723748462,0.00867387120330124,0,0,0,0,0,0,package://Adam lite/meshes/thigh_Left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Adam lite/meshes/thigh_Left.STL,,thigh_Left-1,thigh_Left-sys,thigh_Left-axis,thigh_Left,continuous,0.0440000000000039,0,-0.0525000000000101,0,0,0,hipRollLeft,0,0,-1,,,,,,,,,,,,
shin_Left,-0.000251366271233002,0.000974709150414838,-0.137696539259936,0,0,0,1.83268815609164,0.0197383626579218,1.03891030261045E-06,-0.000578932203045761,0.0199986961965823,-0.000222994904768785,0.000769189974389279,0,0,0,0,0,0,package://Adam lite/meshes/shin_Left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Adam lite/meshes/shin_Left.STL,,shin_Left-1,shin_Left-sys,shin_Left-axis,shin_Left,continuous,0,-0.0355,-0.369,0,0,0,thigh_Left,0,1,0,,,,,,,,,,,,
footLeftY,3.5253747317221E-10,-3.52537457559698E-10,0,0,0,0,0.0523073258915523,5.45927103331882E-06,-6.72656769720597E-21,1.44778955451623E-13,5.45927103331881E-06,1.44778933791319E-13,3.5519595918958E-06,0,0,0,0,0,0,package://Adam lite/meshes/footLeftY.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Adam lite/meshes/footLeftY.STL,,footLeftY-3,footLeftY-sys,footLeftY-axis,footLeftY,continuous,0,0,-0.370000000000002,0,0,0,shin_Left,0,-1,0,,,,,,,,,,,,
toe_Left,0.0400630885355767,6.19650729616339E-07,-0.0427540297948854,0,0,0,0.52389374745206,0.000213624641387708,-1.67671003086614E-05,2.24408175035914E-05,0.00153990913419356,-1.28610361693708E-06,0.00172694917215651,0,0,0,0,0,0,package://Adam lite/meshes/toe_Left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Adam lite/meshes/toe_Left.STL,,toe_left-3,toe_left-sys,toe_left-axis,toe_Left,continuous,0,0,0,0,0,0,footLeftY,1,0,0,,,,,,,,,,,,
hipPitchRight,-0.0578300814276431,-0.0558432033987642,0.00043217134216559,0,0,0,1.41627663298946,0.00184832918225022,-0.0001356641138326,-5.00833539080975E-05,0.00127841232625078,-2.34121013841454E-05,0.00124138039452731,0,0,0,0,0,0,package://Adam lite/meshes/hipPitchRight.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Adam lite/meshes/hipPitchRight.STL,,hipPitchRight-1,hipPitchRight-sys,hipPitchRight-axis,hipPitchRight,continuous,0,-0.0961016652711382,-0.0270112045794353,0.61086523819801,0,0,pelvis,0,-1,0,,,,,,,,,,,,
hipRollRight,0.0390038039281511,3.63058399387994E-05,-0.00769694073148638,0,0,0,0.955014437497134,0.000569069261987879,-6.571987748728E-07,1.35392045656851E-05,0.000535275606756549,-4.53384456606693E-08,0.000936230627586841,0,0,0,0,0,0,package://Adam lite/meshes/hipRollRight.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Adam lite/meshes/hipRollRight.STL,,hipRollRight-2,hipRollRight-sys,hipRollRight-axis,hipRollRight,continuous,-0.0255,-0.0690000000000002,0,-0.61086523819801,0,0,hipPitchRight,1,0,0,,,,,,,,,,,,
thigh_Right,0.0048928261329129,0.00709843447537284,-0.133845407172006,0,0,0,5.13903220695679,0.0236226277985418,3.94990858306017E-05,0.000352668298756202,0.0307388334092856,0.000482703135979869,0.00867195205083882,0,0,0,0,0,0,package://Adam lite/meshes/thigh_Right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Adam lite/meshes/thigh_Right.STL,,thigh_Right-1,thigh_Right-sys,thigh_Right-axis,thigh_Right,continuous,0.0440000000000002,0,-0.0525000000000099,0,0,0,hipRollRight,0,0,-1,,,,,,,,,,,,
